dataset,detector,track_id,tp,fp_double,fp_isolated,fn_shifted,fn_hardmiss
vocadito,spectral_flux,1,39,5,36,8,12
vocadito,superflux,1,39,4,35,8,12
vocadito,madmom_cnn,1,42,5,15,6,11
vocadito,spectral_flux,10,21,3,12,6,8
vocadito,superflux,10,21,1,10,6,8
vocadito,madmom_cnn,10,25,5,5,4,6
vocadito,spectral_flux,11,23,6,9,7,7
vocadito,superflux,11,21,4,7,7,9
vocadito,madmom_cnn,11,25,6,3,8,4
vocadito,spectral_flux,12,21,9,11,3,3
vocadito,superflux,12,21,7,10,3,3
vocadito,madmom_cnn,12,21,3,7,1,5
vocadito,spectral_flux,13,38,10,24,24,12
vocadito,superflux,13,34,6,17,24,16
vocadito,madmom_cnn,13,40,14,22,22,12
vocadito,spectral_flux,14,20,8,13,8,6
vocadito,superflux,14,20,6,11,7,7
vocadito,madmom_cnn,14,21,8,4,3,10
vocadito,spectral_flux,15,19,3,14,2,26
vocadito,superflux,15,15,4,11,5,27
vocadito,madmom_cnn,15,25,5,6,3,19
vocadito,spectral_flux,16,27,2,22,11,9
vocadito,superflux,16,28,3,20,9,10
vocadito,madmom_cnn,16,32,4,3,5,10
vocadito,spectral_flux,17,19,3,21,8,27
vocadito,superflux,17,15,3,10,4,35
vocadito,madmom_cnn,17,24,3,18,7,23
vocadito,spectral_flux,18,22,4,22,7,16
vocadito,superflux,18,18,3,23,8,19
vocadito,madmom_cnn,18,33,15,16,2,10
vocadito,spectral_flux,19,51,19,25,11,11
vocadito,superflux,19,50,19,24,6,17
vocadito,madmom_cnn,19,53,21,13,9,11
vocadito,spectral_flux,2,44,12,36,15,17
vocadito,superflux,2,15,3,19,3,58
vocadito,madmom_cnn,2,22,6,13,7,47
vocadito,spectral_flux,20,21,7,17,7,3
vocadito,superflux,20,19,6,12,8,4
vocadito,madmom_cnn,20,20,7,12,4,7
vocadito,spectral_flux,21,52,14,18,35,10
vocadito,superflux,21,52,8,21,36,9
vocadito,madmom_cnn,21,58,11,5,28,11
vocadito,spectral_flux,22,32,11,21,6,7
vocadito,superflux,22,30,8,19,7,8
vocadito,madmom_cnn,22,30,8,11,7,8
vocadito,spectral_flux,23,32,15,20,6,15
vocadito,superflux,23,30,15,22,8,15
vocadito,madmom_cnn,23,38,9,17,5,10
vocadito,spectral_flux,24,32,13,12,7,0
vocadito,superflux,24,29,8,10,7,3
vocadito,madmom_cnn,24,29,4,7,8,2
vocadito,spectral_flux,25,21,6,17,9,8
vocadito,superflux,25,20,5,13,6,12
vocadito,madmom_cnn,25,22,5,5,9,7
vocadito,spectral_flux,26,47,12,15,22,4
vocadito,superflux,26,47,10,12,22,4
vocadito,madmom_cnn,26,53,9,4,16,4
vocadito,spectral_flux,27,22,6,19,5,7
vocadito,superflux,27,20,4,18,4,10
vocadito,madmom_cnn,27,28,8,5,3,3
vocadito,spectral_flux,28,27,13,21,13,4
vocadito,superflux,28,24,8,21,13,7
vocadito,madmom_cnn,28,28,6,7,6,10
vocadito,spectral_flux,29,23,16,18,10,3
vocadito,superflux,29,25,13,15,8,3
vocadito,madmom_cnn,29,30,8,6,4,2
vocadito,spectral_flux,3,36,4,23,9,6
vocadito,superflux,3,33,6,24,8,10
vocadito,madmom_cnn,3,41,6,11,5,5
vocadito,spectral_flux,30,36,8,8,10,12
vocadito,superflux,30,34,7,7,13,11
vocadito,madmom_cnn,30,42,14,3,9,7
vocadito,spectral_flux,31,32,12,19,9,6
vocadito,superflux,31,29,6,16,8,10
vocadito,madmom_cnn,31,38,18,11,4,5
vocadito,spectral_flux,32,44,16,49,10,3
vocadito,superflux,32,39,9,40,13,5
vocadito,madmom_cnn,32,41,3,15,4,12
vocadito,spectral_flux,33,51,18,34,16,13
vocadito,superflux,33,49,15,36,15,16
vocadito,madmom_cnn,33,56,17,19,14,10
vocadito,spectral_flux,34,60,16,21,17,12
vocadito,superflux,34,58,11,24,19,12
vocadito,madmom_cnn,34,61,18,22,13,15
vocadito,spectral_flux,35,18,1,13,8,11
vocadito,superflux,35,15,5,16,11,11
vocadito,madmom_cnn,35,22,6,8,3,12
vocadito,spectral_flux,36,49,19,32,13,5
vocadito,superflux,36,50,18,22,12,5
vocadito,madmom_cnn,36,49,16,17,8,10
vocadito,spectral_flux,37,30,13,25,8,13
vocadito,superflux,37,26,9,21,11,14
vocadito,madmom_cnn,37,31,7,14,4,16
vocadito,spectral_flux,38,54,21,39,20,4
vocadito,superflux,38,52,16,36,20,6
vocadito,madmom_cnn,38,60,24,33,12,6
vocadito,spectral_flux,39,50,12,38,23,19
vocadito,superflux,39,47,12,29,18,27
vocadito,madmom_cnn,39,54,16,24,12,26
vocadito,spectral_flux,4,45,7,18,19,5
vocadito,superflux,4,38,4,21,24,7
vocadito,madmom_cnn,4,44,10,11,17,8
vocadito,spectral_flux,40,30,13,11,8,7
vocadito,superflux,40,28,8,10,8,9
vocadito,madmom_cnn,40,33,9,3,4,8
vocadito,spectral_flux,5,67,25,25,18,11
vocadito,superflux,5,55,15,25,28,13
vocadito,madmom_cnn,5,59,18,17,17,20
vocadito,spectral_flux,6,35,8,30,18,20
vocadito,superflux,6,23,2,23,12,38
vocadito,madmom_cnn,6,37,14,23,8,28
vocadito,spectral_flux,7,34,2,18,6,7
vocadito,superflux,7,33,1,13,3,11
vocadito,madmom_cnn,7,36,3,7,3,8
vocadito,spectral_flux,8,27,4,22,5,8
vocadito,superflux,8,29,6,19,4,7
vocadito,madmom_cnn,8,31,6,3,2,7
vocadito,spectral_flux,9,45,5,20,11,6
vocadito,superflux,9,40,4,25,16,6
vocadito,madmom_cnn,9,47,4,9,9,6
dagstuhl_choirset,spectral_flux,DCS_LI_FullChoir_Take01,87,34,327,39,35
dagstuhl_choirset,superflux,DCS_LI_FullChoir_Take01,61,10,157,37,63
dagstuhl_choirset,madmom_cnn,DCS_LI_FullChoir_Take01,23,3,39,17,121
dagstuhl_choirset,spectral_flux,DCS_LI_FullChoir_Take02,74,22,162,37,50
dagstuhl_choirset,superflux,DCS_LI_FullChoir_Take02,83,29,181,38,40
dagstuhl_choirset,madmom_cnn,DCS_LI_FullChoir_Take02,28,2,23,9,124
dagstuhl_choirset,spectral_flux,DCS_LI_FullChoir_Take03,81,29,191,43,37
dagstuhl_choirset,superflux,DCS_LI_FullChoir_Take03,64,15,93,40,57
dagstuhl_choirset,madmom_cnn,DCS_LI_FullChoir_Take03,23,2,29,10,128
dagstuhl_choirset,spectral_flux,DCS_LI_QuartetA_Take01,81,24,256,45,35
dagstuhl_choirset,superflux,DCS_LI_QuartetA_Take01,56,10,114,42,63
dagstuhl_choirset,madmom_cnn,DCS_LI_QuartetA_Take01,36,7,51,21,104
dagstuhl_choirset,spectral_flux,DCS_LI_QuartetA_Take02,89,34,249,37,35
dagstuhl_choirset,superflux,DCS_LI_QuartetA_Take02,67,17,116,37,57
dagstuhl_choirset,madmom_cnn,DCS_LI_QuartetA_Take02,29,7,52,20,112
dagstuhl_choirset,spectral_flux,DCS_LI_QuartetA_Take03,71,23,256,44,46
dagstuhl_choirset,superflux,DCS_LI_QuartetA_Take03,60,8,163,46,55
dagstuhl_choirset,madmom_cnn,DCS_LI_QuartetA_Take03,29,6,62,16,116
dagstuhl_choirset,spectral_flux,DCS_LI_QuartetA_Take04,90,51,307,46,25
dagstuhl_choirset,superflux,DCS_LI_QuartetA_Take04,60,17,125,42,59
dagstuhl_choirset,madmom_cnn,DCS_LI_QuartetA_Take04,40,7,50,16,105
dagstuhl_choirset,spectral_flux,DCS_LI_QuartetA_Take05,77,33,249,43,41
dagstuhl_choirset,superflux,DCS_LI_QuartetA_Take05,58,14,121,38,65
dagstuhl_choirset,madmom_cnn,DCS_LI_QuartetA_Take05,34,8,53,16,111
dagstuhl_choirset,spectral_flux,DCS_LI_QuartetA_Take06,71,21,184,35,55
dagstuhl_choirset,superflux,DCS_LI_QuartetA_Take06,52,7,103,31,78
dagstuhl_choirset,madmom_cnn,DCS_LI_QuartetA_Take06,40,5,49,8,113
dagstuhl_choirset,spectral_flux,DCS_LI_QuartetB_Take01,92,21,134,28,41
dagstuhl_choirset,superflux,DCS_LI_QuartetB_Take01,59,10,69,30,72
dagstuhl_choirset,madmom_cnn,DCS_LI_QuartetB_Take01,55,14,32,15,91
dagstuhl_choirset,spectral_flux,DCS_LI_QuartetB_Take02,102,57,289,43,16
dagstuhl_choirset,superflux,DCS_LI_QuartetB_Take02,75,17,117,43,43
dagstuhl_choirset,madmom_cnn,DCS_LI_QuartetB_Take02,59,16,47,22,80
dagstuhl_choirset,spectral_flux,DCS_LI_QuartetB_Take03,102,44,198,30,29
dagstuhl_choirset,superflux,DCS_LI_QuartetB_Take03,82,25,108,30,49
dagstuhl_choirset,madmom_cnn,DCS_LI_QuartetB_Take03,54,17,38,24,83
dagstuhl_choirset,spectral_flux,DCS_LI_QuartetB_Take04,93,29,189,36,32
dagstuhl_choirset,superflux,DCS_LI_QuartetB_Take04,67,6,93,30,64
dagstuhl_choirset,madmom_cnn,DCS_LI_QuartetB_Take04,50,8,49,25,86
dagstuhl_choirset,spectral_flux,DCS_LI_QuartetB_Take05,96,45,226,37,28
dagstuhl_choirset,superflux,DCS_LI_QuartetB_Take05,78,25,91,32,51
dagstuhl_choirset,madmom_cnn,DCS_LI_QuartetB_Take05,54,10,37,20,87
dagstuhl_choirset,spectral_flux,DCS_TP_FullChoir_Take01,45,24,169,19,11
dagstuhl_choirset,superflux,DCS_TP_FullChoir_Take01,24,3,52,17,34
dagstuhl_choirset,madmom_cnn,DCS_TP_FullChoir_Take01,12,1,11,1,62
dagstuhl_choirset,spectral_flux,DCS_TP_FullChoir_Take02,27,10,102,23,25
dagstuhl_choirset,superflux,DCS_TP_FullChoir_Take02,20,6,34,9,46
dagstuhl_choirset,madmom_cnn,DCS_TP_FullChoir_Take02,8,0,15,7,60
dagstuhl_choirset,spectral_flux,DCS_TP_FullChoir_Take03,20,5,31,11,44
dagstuhl_choirset,superflux,DCS_TP_FullChoir_Take03,16,7,44,13,46
dagstuhl_choirset,madmom_cnn,DCS_TP_FullChoir_Take03,12,4,10,3,60
dagstuhl_choirset,spectral_flux,DCS_TP_FullChoir_Take04,30,8,82,23,22
dagstuhl_choirset,superflux,DCS_TP_FullChoir_Take04,17,5,45,14,44
dagstuhl_choirset,madmom_cnn,DCS_TP_FullChoir_Take04,20,1,11,1,54
dagstuhl_choirset,spectral_flux,DCS_TP_QuartetA_Take01,32,7,40,14,29
dagstuhl_choirset,superflux,DCS_TP_QuartetA_Take01,20,3,25,9,46
dagstuhl_choirset,madmom_cnn,DCS_TP_QuartetA_Take01,20,3,10,3,52
dagstuhl_choirset,spectral_flux,DCS_TP_QuartetA_Take02,17,1,60,23,35
dagstuhl_choirset,superflux,DCS_TP_QuartetA_Take02,12,4,26,14,49
dagstuhl_choirset,madmom_cnn,DCS_TP_QuartetA_Take02,20,7,7,3,52
