dataset,track_id,detector,precision,recall,f_measure,n_ref,n_est,meta_language,meta_singer_id,meta_annotator,meta_n_notes,meta_mic,meta_n_singers,meta_n_score_events,meta_n_unique_onsets,meta_piece,meta_ensemble
vocadito,1,spectral_flux,0.4875,0.6610169491525424,0.5611510791366906,59,80,Tagalog,S1,a1,59.0,,,,,,
vocadito,1,superflux,0.5,0.6610169491525424,0.5693430656934306,59,78,Tagalog,S1,a1,59.0,,,,,,
vocadito,1,madmom_cnn,0.6774193548387096,0.711864406779661,0.6942148760330579,59,62,Tagalog,S1,a1,59.0,,,,,,
vocadito,10,spectral_flux,0.5833333333333334,0.6,0.591549295774648,35,36,English,S7,a1,35.0,,,,,,
vocadito,10,superflux,0.65625,0.6,0.626865671641791,35,32,English,S7,a1,35.0,,,,,,
vocadito,10,madmom_cnn,0.7142857142857143,0.7142857142857143,0.7142857142857143,35,35,English,S7,a1,35.0,,,,,,
vocadito,11,spectral_flux,0.6052631578947368,0.6216216216216216,0.6133333333333333,37,38,English,S8,a1,37.0,,,,,,
vocadito,11,superflux,0.65625,0.5675675675675675,0.6086956521739131,37,32,English,S8,a1,37.0,,,,,,
vocadito,11,madmom_cnn,0.7352941176470589,0.6756756756756757,0.7042253521126761,37,34,English,S8,a1,37.0,,,,,,
vocadito,12,spectral_flux,0.5121951219512195,0.7777777777777778,0.6176470588235294,27,41,English,S9,a1,27.0,,,,,,
vocadito,12,superflux,0.5526315789473685,0.7777777777777778,0.6461538461538462,27,38,English,S9,a1,27.0,,,,,,
vocadito,12,madmom_cnn,0.6774193548387096,0.7777777777777778,0.7241379310344828,27,31,English,S9,a1,27.0,,,,,,
vocadito,13,spectral_flux,0.5277777777777778,0.5135135135135135,0.5205479452054794,74,72,French,S10,a1,74.0,,,,,,
vocadito,13,superflux,0.5964912280701754,0.4594594594594595,0.5190839694656488,74,57,French,S10,a1,74.0,,,,,,
vocadito,13,madmom_cnn,0.5263157894736842,0.5405405405405406,0.5333333333333333,74,76,French,S10,a1,74.0,,,,,,
vocadito,14,spectral_flux,0.4878048780487805,0.5882352941176471,0.5333333333333332,34,41,English,S11,a1,34.0,,,,,,
vocadito,14,superflux,0.5405405405405406,0.5882352941176471,0.5633802816901409,34,37,English,S11,a1,34.0,,,,,,
vocadito,14,madmom_cnn,0.6666666666666666,0.6470588235294118,0.6567164179104478,34,33,English,S11,a1,34.0,,,,,,
vocadito,15,spectral_flux,0.5277777777777778,0.40425531914893614,0.45783132530120485,47,36,English,S12,a1,47.0,,,,,,
vocadito,15,superflux,0.5,0.3191489361702128,0.38961038961038963,47,30,English,S12,a1,47.0,,,,,,
vocadito,15,madmom_cnn,0.6944444444444444,0.5319148936170213,0.6024096385542169,47,36,English,S12,a1,47.0,,,,,,
vocadito,16,spectral_flux,0.5294117647058824,0.574468085106383,0.5510204081632654,47,51,Tagalog,S6,a1,47.0,,,,,,
vocadito,16,superflux,0.5490196078431373,0.5957446808510638,0.5714285714285715,47,51,Tagalog,S6,a1,47.0,,,,,,
vocadito,16,madmom_cnn,0.8205128205128205,0.6808510638297872,0.7441860465116279,47,39,Tagalog,S6,a1,47.0,,,,,,
vocadito,17,spectral_flux,0.4418604651162791,0.35185185185185186,0.3917525773195876,54,43,none,S12,a1,54.0,,,,,,
vocadito,17,superflux,0.5357142857142857,0.2777777777777778,0.36585365853658536,54,28,none,S12,a1,54.0,,,,,,
vocadito,17,madmom_cnn,0.5333333333333333,0.4444444444444444,0.4848484848484848,54,45,none,S12,a1,54.0,,,,,,
vocadito,18,spectral_flux,0.4583333333333333,0.4888888888888889,0.4731182795698925,45,48,English,S13,a1,45.0,,,,,,
vocadito,18,superflux,0.4090909090909091,0.4,0.40449438202247195,45,44,English,S13,a1,45.0,,,,,,
vocadito,18,madmom_cnn,0.515625,0.7333333333333333,0.6055045871559632,45,64,English,S13,a1,45.0,,,,,,
vocadito,19,spectral_flux,0.5368421052631579,0.6986301369863014,0.6071428571428571,73,95,English,S14,a1,73.0,,,,,,
vocadito,19,superflux,0.5376344086021505,0.684931506849315,0.6024096385542167,73,93,English,S14,a1,73.0,,,,,,
vocadito,19,madmom_cnn,0.6206896551724138,0.7397260273972602,0.675,73,87,English,S14,a1,73.0,,,,,,
vocadito,2,spectral_flux,0.4782608695652174,0.5789473684210527,0.5238095238095238,76,92,Spanish,S2,a1,76.0,,,,,,
vocadito,2,superflux,0.40540540540540543,0.19736842105263158,0.2654867256637168,76,37,Spanish,S2,a1,76.0,,,,,,
vocadito,2,madmom_cnn,0.5365853658536586,0.2894736842105263,0.37606837606837606,76,41,Spanish,S2,a1,76.0,,,,,,
vocadito,20,spectral_flux,0.4666666666666667,0.6774193548387096,0.5526315789473684,31,45,English,S15,a1,31.0,,,,,,
vocadito,20,superflux,0.5135135135135135,0.6129032258064516,0.5588235294117647,31,37,English,S15,a1,31.0,,,,,,
vocadito,20,madmom_cnn,0.5128205128205128,0.6451612903225806,0.5714285714285714,31,39,English,S15,a1,31.0,,,,,,
vocadito,21,spectral_flux,0.6190476190476191,0.5360824742268041,0.574585635359116,97,84,English,S16,a1,97.0,,,,,,
vocadito,21,superflux,0.6419753086419753,0.5360824742268041,0.5842696629213482,97,81,English,S16,a1,97.0,,,,,,
vocadito,21,madmom_cnn,0.8243243243243243,0.6288659793814433,0.7134502923976608,97,74,English,S16,a1,97.0,,,,,,
vocadito,22,spectral_flux,0.5,0.7111111111111111,0.5871559633027522,45,64,English,S17,a1,45.0,,,,,,
vocadito,22,superflux,0.5263157894736842,0.6666666666666666,0.5882352941176471,45,57,English,S17,a1,45.0,,,,,,
vocadito,22,madmom_cnn,0.6122448979591837,0.6666666666666666,0.6382978723404255,45,49,English,S17,a1,45.0,,,,,,
vocadito,23,spectral_flux,0.47761194029850745,0.6037735849056604,0.5333333333333333,53,67,French,S18,a1,53.0,,,,,,
vocadito,23,superflux,0.44776119402985076,0.5660377358490566,0.5,53,67,French,S18,a1,53.0,,,,,,
vocadito,23,madmom_cnn,0.59375,0.7169811320754716,0.6495726495726496,53,64,French,S18,a1,53.0,,,,,,
vocadito,24,spectral_flux,0.5789473684210527,0.8461538461538461,0.6875,39,57,French,S19,a1,39.0,,,,,,
vocadito,24,superflux,0.6170212765957447,0.7435897435897436,0.6744186046511628,39,47,French,S19,a1,39.0,,,,,,
vocadito,24,madmom_cnn,0.75,0.7692307692307693,0.7594936708860761,39,40,French,S19,a1,39.0,,,,,,
vocadito,25,spectral_flux,0.4772727272727273,0.5526315789473685,0.5121951219512196,38,44,French,S20,a1,38.0,,,,,,
vocadito,25,superflux,0.5263157894736842,0.5263157894736842,0.5263157894736842,38,38,French,S20,a1,38.0,,,,,,
vocadito,25,madmom_cnn,0.71875,0.6052631578947368,0.6571428571428571,38,32,French,S20,a1,38.0,,,,,,
vocadito,26,spectral_flux,0.6351351351351351,0.6438356164383562,0.6394557823129252,73,74,French,S21,a1,73.0,,,,,,
vocadito,26,superflux,0.6811594202898551,0.6438356164383562,0.6619718309859155,73,69,French,S21,a1,73.0,,,,,,
vocadito,26,madmom_cnn,0.803030303030303,0.726027397260274,0.7625899280575539,73,66,French,S21,a1,73.0,,,,,,
vocadito,27,spectral_flux,0.46808510638297873,0.6470588235294118,0.54320987654321,34,47,French,S22,a1,34.0,,,,,,
vocadito,27,superflux,0.47619047619047616,0.5882352941176471,0.5263157894736842,34,42,French,S22,a1,34.0,,,,,,
vocadito,27,madmom_cnn,0.6829268292682927,0.8235294117647058,0.7466666666666667,34,41,French,S22,a1,34.0,,,,,,
vocadito,28,spectral_flux,0.4426229508196721,0.6136363636363636,0.5142857142857142,44,61,French,S21,a1,44.0,,,,,,
vocadito,28,superflux,0.4528301886792453,0.5454545454545454,0.49484536082474223,44,53,French,S21,a1,44.0,,,,,,
vocadito,28,madmom_cnn,0.6829268292682927,0.6363636363636364,0.6588235294117647,44,41,French,S21,a1,44.0,,,,,,
vocadito,29,spectral_flux,0.40350877192982454,0.6388888888888888,0.49462365591397844,36,57,French,S23,a1,36.0,,,,,,
vocadito,29,superflux,0.4716981132075472,0.6944444444444444,0.5617977528089889,36,53,French,S23,a1,36.0,,,,,,
vocadito,29,madmom_cnn,0.6818181818181818,0.8333333333333334,0.7499999999999999,36,44,French,S23,a1,36.0,,,,,,
vocadito,3,spectral_flux,0.5714285714285714,0.7058823529411765,0.6315789473684211,51,63,Tagalog,S1,a1,51.0,,,,,,
vocadito,3,superflux,0.5238095238095238,0.6470588235294118,0.5789473684210527,51,63,Tagalog,S1,a1,51.0,,,,,,
vocadito,3,madmom_cnn,0.7068965517241379,0.803921568627451,0.7522935779816514,51,58,Tagalog,S1,a1,51.0,,,,,,
vocadito,30,spectral_flux,0.6923076923076923,0.6206896551724138,0.6545454545454545,58,52,French+English,S24,a1,58.0,,,,,,
vocadito,30,superflux,0.7083333333333334,0.5862068965517241,0.6415094339622641,58,48,French+English,S24,a1,58.0,,,,,,
vocadito,30,madmom_cnn,0.711864406779661,0.7241379310344828,0.717948717948718,58,59,French+English,S24,a1,58.0,,,,,,
vocadito,31,spectral_flux,0.5079365079365079,0.6808510638297872,0.5818181818181817,47,63,French,S23,a1,47.0,,,,,,
vocadito,31,superflux,0.5686274509803921,0.6170212765957447,0.5918367346938775,47,51,French,S23,a1,47.0,,,,,,
vocadito,31,madmom_cnn,0.5671641791044776,0.8085106382978723,0.6666666666666666,47,67,French,S23,a1,47.0,,,,,,
vocadito,32,spectral_flux,0.4036697247706422,0.7719298245614035,0.5301204819277108,57,109,English,S25,a1,57.0,,,,,,
vocadito,32,superflux,0.4431818181818182,0.6842105263157895,0.5379310344827586,57,88,English,S25,a1,57.0,,,,,,
vocadito,32,madmom_cnn,0.6949152542372882,0.7192982456140351,0.706896551724138,57,59,English,S25,a1,57.0,,,,,,
vocadito,33,spectral_flux,0.49514563106796117,0.6375,0.5573770491803278,80,103,English,S26,a1,80.0,,,,,,
vocadito,33,superflux,0.49,0.6125,0.5444444444444445,80,100,English,S26,a1,80.0,,,,,,
vocadito,33,madmom_cnn,0.6086956521739131,0.7,0.6511627906976744,80,92,English,S26,a1,80.0,,,,,,
vocadito,34,spectral_flux,0.6185567010309279,0.6741573033707865,0.6451612903225807,89,97,English,S27,a1,89.0,,,,,,
vocadito,34,superflux,0.6236559139784946,0.651685393258427,0.6373626373626373,89,93,English,S27,a1,89.0,,,,,,
vocadito,34,madmom_cnn,0.6138613861386139,0.6966292134831461,0.6526315789473685,89,101,English,S27,a1,89.0,,,,,,
vocadito,35,spectral_flux,0.5625,0.4864864864864865,0.5217391304347827,37,32,Mandarin,S28,a1,37.0,,,,,,
vocadito,35,superflux,0.4166666666666667,0.40540540540540543,0.4109589041095891,37,36,Mandarin,S28,a1,37.0,,,,,,
vocadito,35,madmom_cnn,0.6111111111111112,0.5945945945945946,0.6027397260273972,37,36,Mandarin,S28,a1,37.0,,,,,,
vocadito,36,spectral_flux,0.5,0.746268656716418,0.5988023952095809,67,100,Mandarin,S28,a1,67.0,,,,,,
vocadito,36,superflux,0.5555555555555556,0.746268656716418,0.6369426751592356,67,90,Mandarin,S28,a1,67.0,,,,,,
vocadito,36,madmom_cnn,0.5975609756097561,0.7313432835820896,0.6577181208053691,67,82,Mandarin,S28,a1,67.0,,,,,,
vocadito,37,spectral_flux,0.4411764705882353,0.5882352941176471,0.5042016806722689,51,68,Hawaiian+English,S29,a1,51.0,,,,,,
vocadito,37,superflux,0.4642857142857143,0.5098039215686274,0.48598130841121495,51,56,Hawaiian+English,S29,a1,51.0,,,,,,
vocadito,37,madmom_cnn,0.5961538461538461,0.6078431372549019,0.6019417475728156,51,52,Hawaiian+English,S29,a1,51.0,,,,,,
vocadito,38,spectral_flux,0.49122807017543857,0.717948717948718,0.5833333333333334,78,114,English,S29,a1,78.0,,,,,,
vocadito,38,superflux,0.5288461538461539,0.7051282051282052,0.6043956043956045,78,104,English,S29,a1,78.0,,,,,,
vocadito,38,madmom_cnn,0.5128205128205128,0.7692307692307693,0.6153846153846154,78,117,English,S29,a1,78.0,,,,,,
vocadito,39,spectral_flux,0.5,0.5434782608695652,0.5208333333333334,92,100,English,S29,a1,92.0,,,,,,
vocadito,39,superflux,0.5340909090909091,0.5108695652173914,0.5222222222222223,92,88,English,S29,a1,92.0,,,,,,
vocadito,39,madmom_cnn,0.574468085106383,0.5869565217391305,0.5806451612903226,92,94,English,S29,a1,92.0,,,,,,
vocadito,4,spectral_flux,0.6571428571428571,0.6666666666666666,0.6618705035971223,69,70,Catalan/Valencian,S3,a1,69.0,,,,,,
vocadito,4,superflux,0.6031746031746031,0.5507246376811594,0.5757575757575758,69,63,Catalan/Valencian,S3,a1,69.0,,,,,,
vocadito,4,madmom_cnn,0.6923076923076923,0.6521739130434783,0.6716417910447761,69,65,Catalan/Valencian,S3,a1,69.0,,,,,,
vocadito,40,spectral_flux,0.5555555555555556,0.6666666666666666,0.606060606060606,45,54,English,S9,a1,45.0,,,,,,
vocadito,40,superflux,0.6086956521739131,0.6222222222222222,0.6153846153846154,45,46,English,S9,a1,45.0,,,,,,
