dataset,track_id,condition,snr_db,accomp,detector,precision,recall,f_measure,n_ref,n_est
vocadito,1,clean,,The Long Wait - Dark Horses,spectral_flux,0.4875,0.6610169491525424,0.5611510791366906,59,80
vocadito,1,clean,,The Long Wait - Dark Horses,superflux,0.5,0.6610169491525424,0.5693430656934306,59,78
vocadito,1,clean,,The Long Wait - Dark Horses,madmom_cnn,0.6774193548387096,0.711864406779661,0.6942148760330579,59,62
vocadito,1,mix,-5.0,The Long Wait - Dark Horses,spectral_flux,0.2215909090909091,0.6610169491525424,0.3319148936170213,59,176
vocadito,1,mix,-5.0,The Long Wait - Dark Horses,superflux,0.23026315789473684,0.5932203389830508,0.3317535545023697,59,152
vocadito,1,mix,-5.0,The Long Wait - Dark Horses,madmom_cnn,0.2345679012345679,0.6440677966101694,0.34389140271493207,59,162
vocadito,1,separated,-5.0,The Long Wait - Dark Horses,spectral_flux,0.3888888888888889,0.711864406779661,0.5029940119760479,59,108
vocadito,1,separated,-5.0,The Long Wait - Dark Horses,superflux,0.46153846153846156,0.711864406779661,0.5599999999999999,59,91
vocadito,1,separated,-5.0,The Long Wait - Dark Horses,madmom_cnn,0.75,0.6101694915254238,0.6728971962616822,59,48
vocadito,1,mix,0.0,The Long Wait - Dark Horses,spectral_flux,0.21965317919075145,0.6440677966101694,0.3275862068965517,59,173
vocadito,1,mix,0.0,The Long Wait - Dark Horses,superflux,0.2356687898089172,0.6271186440677966,0.3425925925925926,59,157
vocadito,1,mix,0.0,The Long Wait - Dark Horses,madmom_cnn,0.2792207792207792,0.7288135593220338,0.40375586854460094,59,154
vocadito,1,separated,0.0,The Long Wait - Dark Horses,spectral_flux,0.37755102040816324,0.6271186440677966,0.4713375796178344,59,98
vocadito,1,separated,0.0,The Long Wait - Dark Horses,superflux,0.4634146341463415,0.6440677966101694,0.5390070921985816,59,82
vocadito,1,separated,0.0,The Long Wait - Dark Horses,madmom_cnn,0.7017543859649122,0.6779661016949152,0.689655172413793,59,57
vocadito,1,mix,5.0,The Long Wait - Dark Horses,spectral_flux,0.23353293413173654,0.6610169491525424,0.3451327433628319,59,167
vocadito,1,mix,5.0,The Long Wait - Dark Horses,superflux,0.2635135135135135,0.6610169491525424,0.3768115942028985,59,148
vocadito,1,mix,5.0,The Long Wait - Dark Horses,madmom_cnn,0.30597014925373134,0.6949152542372882,0.42487046632124353,59,134
vocadito,1,separated,5.0,The Long Wait - Dark Horses,spectral_flux,0.3958333333333333,0.6440677966101694,0.4903225806451612,59,96
vocadito,1,separated,5.0,The Long Wait - Dark Horses,superflux,0.48148148148148145,0.6610169491525424,0.5571428571428572,59,81
vocadito,1,separated,5.0,The Long Wait - Dark Horses,madmom_cnn,0.711864406779661,0.711864406779661,0.711864406779661,59,59
vocadito,10,clean,,PR - Oh No,spectral_flux,0.5833333333333334,0.6,0.591549295774648,35,36
vocadito,10,clean,,PR - Oh No,superflux,0.65625,0.6,0.626865671641791,35,32
